prefecture,url
hokkaido,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=14163
aomori,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=31312
akita,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=32402
iwate,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=33431
miyagi,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=34392
yamagata,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=35426
hukushima,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=36127
ibaraki,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=40201
tochigi,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=41277
gunma,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=42251
saitama,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=43241
tokyo,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=44132
chiba,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=45212
kanagawa,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=46106
nagano,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=48156
yamanashi,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=49142
shizuoka,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=50331
aichi,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=51106
gihu,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=52586
mie,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=53133
niigata,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=54232
toyama,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=55102
ishikawa,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=56227
fukui,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=57066
shiga,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=60216
kyoto,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=61286
osaka,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=62078
hyogo,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=63518
nara,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=64036
wakayama,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=65042
okayama,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=66408
hiroshima,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=67437
shimane,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=68132
tottori,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=69122
tokushima,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=71106
kagawa,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=72086
ehime,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=73166
kochi,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=74182
yamaguchi,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=81286
fukuoka,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=82182
oita,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=83216
nagasaki,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=84496
saga,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=85142
kumamoto,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=86141
miyazaki,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=87376
kagoshima,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=88317
okinawa,https://kishojin.weathermap.jp/diary.php?ym=202407&ame=91197
